GBPUSD
🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 8 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen13-f1-0.6316.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['volatility-ratio_20_2.0_1.0', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'is-open', 'williamsr_14', 'kaufman-er_10', 'aroon_14', 'stochastic_5_3_3']
------------------------------------------------------------
Step  187/246 | Bars:  187 | Time: 1771200000000 | Score: 0.0000058345 | Target: 0 | .
Step  188/246 | Bars:  188 | Time: 1771214400000 | Score: 0.0000006920 | Target: 0 | *
Step  189/246 | Bars:  189 | Time: 1771228800000 | Score: 0.0000000129 | Target: 0 |
Step  190/246 | Bars:  190 | Time: 1771243200000 | Score: 0.0000001072 | Target: 0 |
Step  191/246 | Bars:  191 | Time: 1771257600000 | Score: 0.0000000183 | Target: 0 |
Step  192/246 | Bars:  192 | Time: 1771272000000 | Score: 0.0000000016 | Target: 0 |
Step  193/246 | Bars:  193 | Time: 1771286400000 | Score: 0.0000000007 | Target: 0 |
Step  194/246 | Bars:  194 | Time: 1771300800000 | Score: 0.0000000003 | Target: 0 |
Step  195/246 | Bars:  195 | Time: 1771315200000 | Score: 0.0000325440 | Target: 0 | *
Step  196/246 | Bars:  196 | Time: 1771329600000 | Score: 0.0004320757 | Target: 0 | ***
Step  197/246 | Bars:  197 | Time: 1771344000000 | Score: 0.1442254335 | Target: 0 | *****
Step  198/246 | Bars:  198 | Time: 1771358400000 | Score: 0.0057740672 | Target: 0 | *****
Step  199/246 | Bars:  199 | Time: 1771372800000 | Score: 0.0051241079 | Target: 0 | ....
Step  200/246 | Bars:  200 | Time: 1771387200000 | Score: 0.0071856393 | Target: 0 | ****
Step  201/246 | Bars:  201 | Time: 1771401600000 | Score: 0.0003748531 | Target: 0 | ****
Step  202/246 | Bars:  202 | Time: 1771416000000 | Score: 0.0000302891 | Target: 0 | ...
Step  203/246 | Bars:  203 | Time: 1771430400000 | Score: 0.0000064241 | Target: 0 | ..
Step  204/246 | Bars:  204 | Time: 1771444800000 | Score: 0.0719426572 | Target: 0 | ***
Step  205/246 | Bars:  205 | Time: 1771459200000 | Score: 0.2440930754 | Target: 0 | ******
Step  206/246 | Bars:  206 | Time: 1771473600000 | Score: 0.1638663411 | Target: 0 | ******
Step  207/246 | Bars:  207 | Time: 1771488000000 | Score: 0.0772736296 | Target: 0 | ******
Step  208/246 | Bars:  208 | Time: 1771502400000 | Score: 0.0975419506 | Target: 0 | .....
Step  209/246 | Bars:  209 | Time: 1771516800000 | Score: 0.0858929306 | Target: 1 | *****  HIT
Step  210/246 | Bars:  210 | Time: 1771531200000 | Score: 0.0500564054 | Target: 0 | *****
Step  211/246 | Bars:  211 | Time: 1771545600000 | Score: 0.0120563861 | Target: 0 | *****
Step  212/246 | Bars:  212 | Time: 1771560000000 | Score: 0.0037445188 | Target: 0 | *****
Step  213/246 | Bars:  213 | Time: 1771574400000 | Score: 0.0017763501 | Target: 0 | ....
Step  214/246 | Bars:  214 | Time: 1771588800000 | Score: 0.0001712017 | Target: 0 | ****
Step  215/246 | Bars:  215 | Time: 1771603200000 | Score: 0.0000019041 | Target: 0 | ..
Step  216/246 | Bars:  216 | Time: 1771617600000 | Score: 0.0000005140 | Target: 0 | .
Step  217/246 | Bars:  217 | Time: 1771804800000 | Score: 0.0000000050 | Target: 0 |
Step  218/246 | Bars:  218 | Time: 1771819200000 | Score: 0.0000001150 | Target: 0 |
Step  219/246 | Bars:  219 | Time: 1771833600000 | Score: 0.0000000038 | Target: 0 |
Step  220/246 | Bars:  220 | Time: 1771848000000 | Score: 0.0000000003 | Target: 0 |
Step  221/246 | Bars:  221 | Time: 1771862400000 | Score: 0.0000000004 | Target: 0 |
Step  222/246 | Bars:  222 | Time: 1771876800000 | Score: 0.0000000000 | Target: 0 |
Step  223/246 | Bars:  223 | Time: 1771891200000 | Score: 0.0000000000 | Target: 0 |
Step  224/246 | Bars:  224 | Time: 1771905600000 | Score: 0.0000000004 | Target: 0 |
Step  225/246 | Bars:  225 | Time: 1771920000000 | Score: 0.0000000000 | Target: 0 |
Step  226/246 | Bars:  226 | Time: 1771934400000 | Score: 0.0000000000 | Target: 0 |
Step  227/246 | Bars:  227 | Time: 1771948800000 | Score: 0.0000000000 | Target: 0 |
Step  228/246 | Bars:  228 | Time: 1771963200000 | Score: 0.0000000000 | Target: 0 |
Step  229/246 | Bars:  229 | Time: 1771977600000 | Score: 0.0000000000 | Target: 0 |
