🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 9 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen12-f1-0.7692.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['williamsr_14', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'cci_20', 'is-open', 'ppo_12_26_9', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'example-multi-tf-rsi_GBP-USD_14_14_14_14']
------------------------------------------------------------
Step  234/301 | Bars:  234 | Score: 0.0025802033 | Target: 0
Step  235/301 | Bars:  235 | Score: 0.0000022852 | Target: 0
Step  236/301 | Bars:  236 | Score: 0.0000001599 | Target: 0
Step  237/301 | Bars:  237 | Score: 0.0000063126 | Target: 0
Step  238/301 | Bars:  238 | Score: 0.0000014657 | Target: 0
Step  239/301 | Bars:  239 | Score: 0.0000843058 | Target: 0
Step  240/301 | Bars:  240 | Score: 0.0000000003 | Target: 0
Step  241/301 | Bars:  241 | Score: 0.0000000007 | Target: 0
Step  242/301 | Bars:  242 | Score: 0.0000000892 | Target: 0
Step  243/301 | Bars:  243 | Score: 0.0000001119 | Target: 0
Step  244/301 | Bars:  244 | Score: 0.0000013779 | Target: 0
Step  245/301 | Bars:  245 | Score: 0.0000000463 | Target: 0
Step  246/301 | Bars:  246 | Score: 0.0000000127 | Target: 0
Step  247/301 | Bars:  247 | Score: 0.0000002402 | Target: 0
Step  248/301 | Bars:  248 | Score: 0.0000003698 | Target: 0
Step  249/301 | Bars:  249 | Score: 0.0000002807 | Target: 0
Step  250/301 | Bars:  250 | Score: 0.0000043664 | Target: 0
Step  251/301 | Bars:  251 | Score: 0.0000101786 | Target: 0
Step  252/301 | Bars:  252 | Score: 0.0000484163 | Target: 0
Step  253/301 | Bars:  253 | Score: 0.0000000084 | Target: 0
Step  254/301 | Bars:  254 | Score: 0.0000000000 | Target: 0
Step  255/301 | Bars:  255 | Score: 0.0000000001 | Target: 0
Step  256/301 | Bars:  256 | Score: 0.0000000007 | Target: 0
Step  257/301 | Bars:  257 | Score: 0.0000000074 | Target: 0
Step  258/301 | Bars:  258 | Score: 0.0000002214 | Target: 0
Step  259/301 | Bars:  259 | Score: 0.0000175822 | Target: 0
Step  260/301 | Bars:  260 | Score: 0.0005842784 | Target: 0
Step  261/301 | Bars:  261 | Score: 0.0008275624 | Target: 0
Step  262/301 | Bars:  262 | Score: 0.0001667629 | Target: 0
Step  263/301 | Bars:  263 | Score: 0.0000682874 | Target: 0
Step  264/301 | Bars:  264 | Score: 0.0006671568 | Target: 0
Step  265/301 | Bars:  265 | Score: 0.0011629808 | Target: 0
Step  266/301 | Bars:  266 | Score: 0.0006564889 | Target: 0
Step  267/301 | Bars:  267 | Score: 0.0028419895 | Target: 0
Step  268/301 | Bars:  268 | Score: 0.0004499731 | Target: 0
Step  269/301 | Bars:  269 | Score: 0.0010112224 | Target: 0
Step  270/301 | Bars:  270 | Score: 0.0037662636 | Target: 0
Step  271/301 | Bars:  271 | Score: 0.0044768006 | Target: 0
Step  272/301 | Bars:  272 | Score: 0.2820659578 | Target: 1 ENTER_POSITION
Step  273/301 | Bars:  273 | Score: 0.0038566196 | Target: 0
Step  274/301 | Bars:  274 | Score: 0.0577404797 | Target: 0
Step  275/301 | Bars:  275 | Score: 0.0000231949 | Target: 0
Step  276/301 | Bars:  276 | Score: 0.0000000000 | Target: 0
Step  277/301 | Bars:  277 | Score: 0.0000000000 | Target: 0
Step  278/301 | Bars:  278 | Score: 0.0000000000 | Target: 0
Step  279/301 | Bars:  279 | Score: 0.0000000000 | Target: 0
Step  280/301 | Bars:  280 | Score: 0.0000000000 | Target: 0
Step  281/301 | Bars:  281 | Score: 0.0000001535 | Target: 0
Step  282/301 | Bars:  282 | Score: 0.0000861073 | Target: 0
Step  283/301 | Bars:  283 | Score: 0.0000739156 | Target: 0
Step  284/301 | Bars:  284 | Score: 0.0002203161 | Target: 0
Step  285/301 | Bars:  285 | Score: 0.0293771401 | Target: 0
Step  286/301 | Bars:  286 | Score: 0.0209229831 | Target: 0
Step  287/301 | Bars:  287 | Score: 0.0000831093 | Target: 0
Step  288/301 | Bars:  288 | Score: 0.0001663284 | Target: 0
Step  289/301 | Bars:  289 | Score: 0.0002995572 | Target: 0
Step  290/301 | Bars:  290 | Score: 0.0005206426 | Target: 0
Step  291/301 | Bars:  291 | Score: 0.0014869423 | Target: 0
Step  292/301 | Bars:  292 | Score: 0.0032238816 | Target: 0
Step  293/301 | Bars:  293 | Score: 0.0028539777 | Target: 0
Step  294/301 | Bars:  294 | Score: 0.0016561215 | Target: 0
Step  295/301 | Bars:  295 | Score: 0.0221718512 | Target: 0
Step  296/301 | Bars:  296 | Score: 0.0157624856 | Target: 0
Step  297/301 | Bars:  297 | Score: 0.0093659321 | Target: 0
Step  298/301 | Bars:  298 | Score: 0.0089032166 | Target: 0
Step  299/301 | Bars:  299 | Score: 0.0663099885 | Target: 0
Step  300/301 | Bars:  300 | Score: 0.0061130477 | Target: 0
Step  301/301 | Bars:  301 | Score: 0.0071118185 | Target: 0
------------------------------------------------------------
✅ [Forensic Stepper]: Walk-Forward Complete.
